row,date,type,price,shares,balance,lastAmountSpent,fee,profit
46,2013-10-16,buy,0.007305,136481.86173853526,0.0,1000.0,3.0,0
69,2013-11-08,sell,0.010722,0.0,1458.97,1000.0,4.39,458.97
108,2013-12-17,buy,0.018313,79429.36711625621,0.0,1458.97,4.38,0
318,2014-07-15,sell,0.004514,0.0,357.46,1458.97,1.08,-1101.51
500,2015-01-13,buy,0.015648,22775.434560327198,0.0,357.46,1.07,0
637,2015-05-30,sell,0.008409,0.0,190.95,357.46,0.57,-166.51
680,2015-07-12,buy,0.008614,22101.23055491061,0.0,190.95,0.57,0
827,2015-12-06,sell,0.005344,0.0,117.76,190.95,0.35,-73.18999999999998
869,2016-01-17,buy,0.005266,22295.860235472846,0.0,117.76,0.35,0
882,2016-01-30,sell,0.006634,0.0,147.47,117.76,0.44,29.709999999999994
952,2016-04-09,buy,0.006288,23382.63358778626,0.0,147.47,0.44,0
1111,2016-09-15,sell,0.008303,0.0,193.57,147.47,0.58,46.099999999999994
1188,2016-12-01,buy,0.006702,28795.8818263205,0.0,193.57,0.58,0
1300,2017-03-23,sell,0.010582,0.0,303.81,193.57,0.91,110.24000000000001
1408,2017-07-09,buy,0.23341599999999998,1297.6831065565343,0.0,303.81,0.91,0
1453,2017-08-23,sell,0.246827,0.0,319.34,303.81,0.96,15.529999999999973
1477,2017-09-16,buy,0.179082,1777.8447861873333,0.0,319.34,0.96,0
1496,2017-10-05,sell,0.23701599999999998,0.0,420.12,319.34,1.26,100.78000000000003
1599,2018-01-16,buy,1.18,354.96610169491527,0.0,420.12,1.26,0
1667,2018-03-25,sell,0.641875,0.0,227.16,420.12,0.68,-192.96
